"name" "continent"
"USA" "Americas"
"Iceland" "Europe"
"Germany" "Europe"
"Canada" "Americas"
"Finland" "Europe"
"Australia" "Oceania"
"Netherlands" "Europe"
"France" "Europe"
"Luxembourg" "Europe"
"Austria" "Europe"
"Norway" "Europe"
"Singapore" "Asia"
"Thailand" "Asia"
"England" "Europe"
"Denmark" "Europe"
"Wales" "Europe"
"Belgium" "Europe"
"Portugal" "Europe"
"Taiwan" "Asia"
"Russia" "Europe"
"Georgia" "Asia"
"Senegal" "Africa"
"Algeria" "Africa"
"Ghana" "Africa"
"NanChang" "Asia"
"Saudi_Arabia" "Asia"
"DRC" "Africa"
"Japan" "Asia"
"Argentina" "Americas"
"Slovakia" "Europe"
"Scotland" "Europe"
"Spain" "Europe"
"Switzerland" "Europe"
"Latvia" "Europe"
"Italy" "Europe"
"Brazil" "Americas"
"Slovenia" "Europe"
"Czech_Republic" "Europe"
"Kuwait" "Asia"
"India" "Asia"
"Ireland" "Europe"
"NetherlandsL" "Europe"
"Northern_Ireland" "Europe"
"South_Africa" "Africa"
"Hungary" "Europe"
"Colombia" "Americas"
"Peru" "Americas"
"Greece" "Europe"
"New_Zealand" "Oceania"
"Vietnam" "Asia"
"Ecuador" "Americas"
"Nigeria" "Africa"
"Chile" "Americas"
"Panama" "Americas"
"Hangzhou" "Asia"
"Wuhan" "Asia"
"Korea" "Asia"
"NewZealand" "Oceania"
"Hong_Kong" "Asia"
"Shanghai" "Asia"
"Guangdong" "Asia"
"Sweden" "Europe"
"Jian" "Asia"
"South_Korea" "Asia"
"Malaysia" "Asia"
"Nanchang" "Asia"
"Xinyu" "Asia"
"Pakistan" "Asia"
"Jiangsu" "Asia"
"Nonthaburi" "Asia"
"Hefei" "Asia"
"Zhejiang" "Asia"
"Chongqing" "Asia"
"China" "Asia"
"Wuhan-Hu-1" "Asia"
"Foshan" "Asia"
"Fujian" "Asia"
"Shenzhen" "Asia"
"Guangzhou" "Asia"
"Shangrao" "Asia"
"Pingxiang" "Asia"
"Nepal" "Asia"
"Cambodia" "Asia"
"Poland" "Europe"
"Ganzhou" "Asia"
"Jiujiang" "Asia"
"Tianmen" "Asia"
"Beijing" "Asia"
"Anhui" "Asia"
"Yunnan" "Asia"
"Sichuan" "Asia"
"Shandong" "Asia"
